income,model,retired,stratifier,stratification,att,lower,upper,se,n_treat,n_control,n_dead_treat,n_dead_control,outcome_control,outcome_treat,p_val,pct,pct_lower,pct_upper
personal,final,0,,,7138,6777,7498,183.876,30802,4317385,0,0,482775.332,475637.437,0,1.50%,1.40%,1.55%
personal,final,1,,,-1541,-1821,-1261,142.755,26051,3419395,0,0,308752.224,310293.001,0,-0.50%,-0.59%,-0.41%
personal,final,,,,3636,3392,3881,124.728,56853,7736780,0,0,411572.028,407935.837,0,0.90%,0.82%,0.94%
personal,final,0,index,0,207,129,284,39.654,30802,4317385,0,0,50394.526,50187.938,0,0.40%,0.26%,0.56%
personal,final,0,index,1,353,263,442,45.77,30118,4234604,0,0,50219.32,49866.578,0,0.70%,0.52%,0.88%
personal,final,0,index,2,807,712,903,48.887,29330,4141370,0,0,49938.631,49131.281,0,1.60%,1.42%,1.81%
personal,final,0,index,3,1046,944,1147,51.837,28546,4054320,0,0,49696.012,48650.31,0,2.10%,1.90%,2.31%
personal,final,0,index,4,1120,1012,1229,55.43,25941,3722859,0,0,49012.074,47891.922,0,2.30%,2.06%,2.51%
personal,final,0,index,5,1094,981,1207,57.646,23302,3394865,0,0,48240.373,47146.261,0,2.30%,2.03%,2.50%
personal,final,0,index,6,812,691,932,61.409,20840,3082614,0,0,47458.026,46646.498,0,1.70%,1.46%,1.96%
personal,final,0,index,7,631,501,760,65.999,18522,2781283,0,0,46696.858,46066.252,0,1.40%,1.07%,1.63%
personal,final,0,index,8,613,473,753,71.205,16358,2482111,0,0,45963.132,45350.152,0,1.30%,1.03%,1.64%
personal,final,0,index,9,456,311,601,73.983,14033,2179752,0,0,45156.381,44700.245,0,1.00%,0.69%,1.33%
personal,final,1,index,0,-117,-162,-73,22.504,26051,3419395,0,0,30154.452,30271.849,0,-0.40%,-0.54%,-0.24%
personal,final,1,index,1,-131,-185,-77,27.421,24449,3207759,0,0,30363.416,30494.533,0,-0.40%,-0.61%,-0.25%
personal,final,1,index,2,-131,-191,-71,30.692,22778,2996953,0,0,30581.246,30712.377,0,-0.40%,-0.63%,-0.23%
personal,final,1,index,3,-195,-262,-128,34.32,21249,2797471,0,0,30776.905,30971.756,0,-0.60%,-0.85%,-0.41%
personal,final,1,index,4,-210,-286,-134,38.951,18187,2410066,0,0,30784.53,30994.602,0,-0.70%,-0.93%,-0.43%
personal,final,1,index,5,-212,-298,-126,43.749,15535,2077509,0,0,30878.963,31091.011,0,-0.70%,-0.96%,-0.41%
personal,final,1,index,6,-138,-232,-43,48.218,13173,1765415,0,0,31055.291,31193.183,0.004,-0.40%,-0.75%,-0.14%
personal,final,1,index,7,-140,-244,-37,52.654,11052,1485516,0,0,31240.369,31380.835,0.008,-0.40%,-0.78%,-0.12%
personal,final,1,index,8,-155,-275,-35,61.229,9136,1230249,0,0,31381.456,31536.64,0.011,-0.50%,-0.88%,-0.11%
personal,final,1,index,9,-111,-245,24,68.726,7360,1000297,0,0,31535.597,31646.215,0.107,-0.40%,-0.78%,0.08%
personal,final,,index,0,58,11,105,23.83,56853,7736780,0,0,41120.184,41062.052,0.015,0.10%,0.03%,0.25%
personal,final,,index,1,136,81,191,28.092,54567,7442363,0,0,41322.789,41186.843,0,0.30%,0.20%,0.46%
personal,final,,index,2,397,337,457,30.614,52108,7138323,0,0,41476.926,41079.815,0,1.00%,0.81%,1.10%
personal,final,,index,3,516,451,581,33.129,49795,6851791,0,0,41622.669,41106.348,0,1.20%,1.08%,1.40%
personal,final,,index,4,572,501,643,36.325,44128,6132925,0,0,41499.738,40927.828,0,1.40%,1.21%,1.55%
personal,final,,index,5,572,496,648,38.762,38837,5472374,0,0,41295.719,40724.078,0,1.40%,1.20%,1.57%
personal,final,,index,6,444,361,526,42.005,34013,4848029,0,0,41105.36,40661.536,0,1.10%,0.88%,1.28%
personal,final,,index,7,342,253,432,45.779,29574,4266799,0,0,40920.666,40578.214,0,0.80%,0.62%,1.06%
personal,final,,index,8,338,238,437,50.684,25494,3712360,0,0,40737.659,40399.958,0,0.80%,0.59%,1.07%
personal,final,,index,9,261,155,367,53.984,21393,3180049,0,0,40470.317,40209.166,0,0.60%,0.38%,0.91%
personal,final,0,pre_socio,wage_earner,9207,8748,9665,233.912,22861,3961658,0,0,533888.463,524681.524,0,1.70%,1.64%,1.81%
personal,final,0,pre_socio,in_school,22163,18540,25786,1848.355,177,48074,0,0,453392.042,431229.166,0,4.90%,4.09%,5.69%
personal,final,0,pre_socio,unemp_recipient,4727,3335,6120,710.227,643,8221,0,0,321317.677,316590.21,0,1.50%,1.04%,1.90%
personal,final,0,pre_socio,disab_recipient,-2191,-2547,-1835,181.705,4459,249353,0,0,309505.518,311696.849,0,-0.70%,-0.82%,-0.59%
personal,final,0,pre_socio,leave_recipient,9009,7359,10659,841.975,378,3948,0,0,354111.344,345102.178,0,2.50%,2.08%,3.01%
personal,final,0,pre_socio,self_employed,3899,1478,6321,1235.424,816,8065,0,0,443897.663,439998.527,0.002,0.90%,0.33%,1.42%
personal,final,0,pre_socio,unemployed_6mo,4373,3080,5665,659.59,698,19268,0,0,338151.638,333779.084,0,1.30%,0.91%,1.68%
personal,final,0,pre_socio,working_spouse,3756,1298,6214,1254.018,164,2821,0,0,308501.444,304745.536,0.003,1.20%,0.42%,2.01%
personal,final,0,pre_socio,other,-1275,-3624,1073,1198.157,606,15977,0,0,269273.179,270548.382,0.287,-0.50%,-1.35%,0.40%
personal,final,1,pre_socio,early_retirement,-1016,-1591,-441,293.446,4460,515881,0,0,288106.8,289122.721,0.001,-0.40%,-0.55%,-0.15%
personal,final,1,pre_socio,retired,-1609,-1931,-1286,164.358,21591,2903514,0,0,315527.9,317136.414,0,-0.50%,-0.61%,-0.41%
personal,final,,pre_socio,wage_earner,9207,8748,9665,233.912,22861,3961658,0,0,533888.463,524681.524,0,1.70%,1.64%,1.81%
personal,final,,pre_socio,in_school,22163,18540,25786,1848.355,177,48074,0,0,453392.042,431229.166,0,4.90%,4.09%,5.69%
personal,final,,pre_socio,unemp_recipient,4727,3335,6120,710.227,643,8221,0,0,321317.677,316590.21,0,1.50%,1.04%,1.90%
personal,final,,pre_socio,disab_recipient,-2191,-2547,-1835,181.705,4459,249353,0,0,309505.518,311696.849,0,-0.70%,-0.82%,-0.59%
personal,final,,pre_socio,leave_recipient,9009,7359,10659,841.975,378,3948,0,0,354111.344,345102.178,0,2.50%,2.08%,3.01%
personal,final,,pre_socio,self_employed,3899,1478,6321,1235.424,816,8065,0,0,443897.663,439998.527,0.002,0.90%,0.33%,1.42%
